Error: No matching rule for hanlp-portable-1.5.0.jar Error: Not found, no licenses
Error: No matching rule for j2objc-annotations-1.1.jar https://central.sonatype.com/artifact/com.google.j2objc/j2objc-annotations/1.1, no licenses
Error: No matching rule for j2objc-annotations-2.8.jar https://central.sonatype.com/artifact/com.google.j2objc/j2objc-annotations/2.8, no licenses
Error: No matching rule for jackson-annotations-2.15.2.jar https://central.sonatype.com/artifact/com.fasterxml.jackson.core/jackson-annotations/2.15.2, no licenses
Error: No matching rule for jackson-core-2.15.2.jar https://central.sonatype.com/artifact/com.fasterxml.jackson.core/jackson-core/2.15.2, no licenses
Error: No matching rule for jackson-databind-2.13.2.jar https://central.sonatype.com/artifact/com.fasterxml.jackson.core/jackson-databind/2.13.2, no licenses
Error: No matching rule for jackson-dataformat-yaml-2.11.2.jar https://central.sonatype.com/artifact/com.fasterxml.jackson.dataformat/jackson-dataformat-yaml/2.11.2, no licenses
Error: No matching rule for jackson-datatype-jsr310-2.11.2.jar https://central.sonatype.com/artifact/com.fasterxml.jackson.datatype/jackson-datatype-jsr310/2.11.2, no licenses
Error: No matching rule for jackson-jaxrs-base-2.15.2.jar https://central.sonatype.com/artifact/com.fasterxml.jackson.jaxrs/jackson-jaxrs-base/2.15.2, no licenses
Error: No matching rule for jackson-jaxrs-json-provider-2.15.2.jar https://central.sonatype.com/artifact/com.fasterxml.jackson.jaxrs/jackson-jaxrs-json-provider/2.15.2, no licenses
Error: No matching rule for jackson-module-jaxb-annotations-2.15.2.jar https://central.sonatype.com/artifact/com.fasterxml.jackson.module/jackson-module-jaxb-annotations/2.15.2, no licenses
Error: No matching rule for jcseg-core-2.2.0.jar https://central.sonatype.com/artifact/org.lionsoul/jcseg-core/2.2.0, no licenses
Error: No matching rule for jedis-2.5.1.jar https://central.sonatype.com/artifact/redis.clients/jedis/2.5.1, no licenses
Error: No matching rule for jjwt-api-0.11.2.jar https://central.sonatype.com/artifact/io.jsonwebtoken/jjwt-api/0.11.2, no licenses
Error: No matching rule for jjwt-impl-0.11.2.jar https://central.sonatype.com/artifact/io.jsonwebtoken/jjwt-impl/0.11.2, no licenses
Error: No matching rule for jjwt-jackson-0.11.2.jar https://central.sonatype.com/artifact/io.jsonwebtoken/jjwt-jackson/0.11.2, no licenses
Error: No matching rule for kubernetes-client-5.6.0.jar https://central.sonatype.com/artifact/io.fabric8/kubernetes-client/5.6.0, no licenses
Error: No matching rule for kubernetes-model-admissionregistration-5.6.0.jar https://central.sonatype.com/artifact/io.fabric8/kubernetes-model-admissionregistration/5.6.0, no licenses
Error: No matching rule for kubernetes-model-apiextensions-5.6.0.jar https://central.sonatype.com/artifact/io.fabric8/kubernetes-model-apiextensions/5.6.0, no licenses
Error: No matching rule for kubernetes-model-apps-5.6.0.jar https://central.sonatype.com/artifact/io.fabric8/kubernetes-model-apps/5.6.0, no licenses
Error: No matching rule for kubernetes-model-autoscaling-5.6.0.jar https://central.sonatype.com/artifact/io.fabric8/kubernetes-model-autoscaling/5.6.0, no licenses
Error: No matching rule for kubernetes-model-batch-5.6.0.jar https://central.sonatype.com/artifact/io.fabric8/kubernetes-model-batch/5.6.0, no licenses
Error: No matching rule for kubernetes-model-certificates-5.6.0.jar https://central.sonatype.com/artifact/io.fabric8/kubernetes-model-certificates/5.6.0, no licenses
Error: No matching rule for kubernetes-model-common-5.6.0.jar https://central.sonatype.com/artifact/io.fabric8/kubernetes-model-common/5.6.0, no licenses
Error: No matching rule for kubernetes-model-coordination-5.6.0.jar https://central.sonatype.com/artifact/io.fabric8/kubernetes-model-coordination/5.6.0, no licenses
Error: No matching rule for kubernetes-model-core-5.6.0.jar https://central.sonatype.com/artifact/io.fabric8/kubernetes-model-core/5.6.0, no licenses
Error: No matching rule for kubernetes-model-discovery-5.6.0.jar https://central.sonatype.com/artifact/io.fabric8/kubernetes-model-discovery/5.6.0, no licenses
Error: No matching rule for kubernetes-model-events-5.6.0.jar https://central.sonatype.com/artifact/io.fabric8/kubernetes-model-events/5.6.0, no licenses
Error: No matching rule for kubernetes-model-extensions-5.6.0.jar https://central.sonatype.com/artifact/io.fabric8/kubernetes-model-extensions/5.6.0, no licenses
Error: No matching rule for kubernetes-model-flowcontrol-5.6.0.jar https://central.sonatype.com/artifact/io.fabric8/kubernetes-model-flowcontrol/5.6.0, no licenses
Error: No matching rule for kubernetes-model-metrics-5.6.0.jar https://central.sonatype.com/artifact/io.fabric8/kubernetes-model-metrics/5.6.0, no licenses
Error: No matching rule for kubernetes-model-networking-5.6.0.jar https://central.sonatype.com/artifact/io.fabric8/kubernetes-model-networking/5.6.0, no licenses
